ID;Source;Target;weight;Jahr
550;569;588;1;1543
551;570;588;1;1543
552;571;590;2;1543
553;574;593;8;1543
554;518;584;1;1545
555;558;585;1;1545
556;559;586;2;1545
557;566;588;2;1545
558;568;589;2;1545
559;569;588;1;1545
560;558;585;1;1556
561;574;593;3;1556
562;559;584;1;1560
563;559;586;2;1560
564;565;588;1;1560
565;568;589;1;1560
566;569;588;1;1560
567;554;581;2;1568
568;556;583;5;1568
569;518;584;7;1568
570;558;585;1;1568
571;559;586;1;1568
572;560;583;2;1568
573;562;583;1;1568
574;564;587;2;1568
575;565;588;1;1568
576;566;588;1;1568
577;568;589;3;1568
578;569;588;2;1568
579;571;590;2;1568
580;574;593;2;1568
581;554;581;2;1569
582;409;582;1;1569
583;556;583;3;1569
584;518;584;3;1569
585;558;585;1;1569
586;559;582;1;1569
587;559;584;1;1569
588;559;586;1;1569
589;560;583;2;1569
590;561;583;2;1569
591;486;583;1;1569
592;564;587;2;1569
593;565;588;3;1569
594;566;588;1;1569
595;568;589;12;1569
596;569;588;3;1569
597;570;588;1;1569
598;571;590;5;1569
599;574;593;4;1569
600;556;583;3;1570
601;518;584;4;1570
602;558;585;1;1570
603;559;584;1;1570
604;559;586;2;1570
605;560;583;2;1570
606;486;583;3;1570
607;565;588;3;1570
608;566;588;2;1570
609;568;589;5;1570
610;569;588;3;1570
611;570;588;1;1570
612;571;590;1;1570
613;572;591;1;1570
614;573;592;2;1570
615;574;593;12;1570
616;480;595;1;1570
617;421;596;1;1570
618;518;584;1;1574
619;575;594;1;1574
620;554;581;2;1576
621;556;583;3;1576
622;518;584;6;1576
623;558;585;3;1576
624;559;582;2;1576
625;559;584;5;1576
626;559;586;2;1576
627;560;583;5;1576
628;561;583;2;1576
629;562;583;2;1576
630;486;583;2;1576
631;564;587;2;1576
632;565;588;1;1576
633;568;589;12;1576
634;569;588;2;1576
635;571;590;1;1576
636;574;593;7;1576
637;575;594;3;1576
638;554;581;4;1577
639;409;582;2;1577
640;556;583;4;1577
641;518;584;5;1577
642;558;585;3;1577
643;559;582;1;1577
644;559;583;1;1577
645;559;584;3;1577
646;559;586;3;1577
647;560;583;2;1577
648;561;583;1;1577
649;562;583;2;1577
650;486;583;1;1577
651;565;588;2;1577
652;566;588;1;1577
653;568;589;2;1577
654;569;588;2;1577
655;570;588;1;1577
656;571;590;1;1577
657;575;594;1;1577
658;554;581;1;1582
659;409;582;2;1582
660;556;583;3;1582
661;518;584;3;1582
662;558;585;3;1582
663;559;582;1;1582
664;559;584;1;1582
665;559;586;2;1582
666;559;588;2;1582
667;564;587;1;1582
668;565;588;3;1582
669;566;588;2;1582
670;568;589;6;1582
671;569;588;3;1582
672;570;588;1;1582
673;573;592;3;1582
674;574;593;2;1582
675;575;594;1;1582
676;554;581;2;1583
677;556;583;4;1583
678;518;584;4;1583
679;558;585;1;1583
680;559;584;1;1583
681;559;586;2;1583
682;560;583;2;1583
683;561;583;1;1583
684;562;583;4;1583
685;486;583;1;1583
686;564;587;1;1583
687;565;588;1;1583
688;566;588;1;1583
689;568;589;2;1583
690;569;588;1;1583
691;570;588;1;1583
692;573;592;3;1583
693;554;581;29;1584
694;409;582;14;1584
695;556;583;40;1584
696;518;584;50;1584
697;558;585;25;1584
698;558;597;1;1584
699;559;582;15;1584
700;559;584;22;1584
701;559;586;36;1584
702;559;588;29;1584
703;560;583;27;1584
704;561;583;9;1584
705;562;583;27;1584
706;486;583;15;1584
707;564;587;31;1584
708;565;588;55;1584
709;566;588;12;1584
710;567;583;1;1584
711;568;589;88;1584
712;569;588;26;1584
713;570;588;12;1584
714;571;590;13;1584
715;573;592;15;1584
716;574;593;26;1584
717;575;594;8;1584
718;480;595;1;1584
719;554;581;6;1586
720;409;582;3;1586
721;556;583;4;1586
722;518;584;25;1586
723;558;585;10;1586
724;559;582;3;1586
725;559;584;10;1586
726;559;586;7;1586
727;559;588;10;1586
728;560;583;4;1586
729;561;583;1;1586
730;562;583;5;1586
731;486;583;3;1586
732;564;587;9;1586
733;565;588;19;1586
734;568;589;12;1586
735;569;588;4;1586
736;570;588;1;1586
737;571;590;5;1586
738;573;592;5;1586
739;574;593;22;1586
740;575;594;8;1586
741;480;595;1;1586
742;421;596;6;1586
743;578;597;1;1586
